	37_10_Double.KDKO_r1	37_10_MSN24.KO_r3	37_10_MSN24.KO_r1	37_10_Double.KDKO_r3	37_10_MSN24.KO_r2	37_10_Double.KDKO_r2	37_10_HSF1.KD_r1	37_10_Wildtype_r3	37_10_Wildtype_r1	37_10_HSF1.KD_r3	37_10_Wildtype_r2	37_10_HSF1.KD_r2
YKR007W	133	192	88	174	97	93	79	28	29	37	54	158
YKR008W	604	779	459	810	451	603	737	633	331	362	214	1087
YKR009C	272	376	333	341	310	308	275	420	157	265	223	732
YKR010C	365	247	290	364	195	293	363	198	175	141	132	349
YKR011C	197	618	298	269	276	181	229	227	111	196	131	606
YKR012C	7	12	11	20	9	4	5	0	8	13	3	9
YKR013W	4023	2801	4519	5330	3566	4301	6248	4163	2171	3364	1907	5450
YKR014C	388	356	255	285	306	272	671	330	315	411	65	773
YKR015C	13	26	12	21	10	13	28	8	5	8	3	16
YKR016W	427	428	290	675	267	453	578	522	283	489	369	1280
YKR017C	55	72	32	93	31	51	134	47	36	90	34	124
YKR018C	395	334	486	277	390	278	950	373	512	812	322	1186
YKR019C	159	195	170	222	189	179	183	124	85	151	99	271
YKR020W	61	82	40	57	70	50	50	36	20	32	23	108
YKR021W	1075	1297	1739	1225	1502	1373	2800	3152	1327	1337	1154	2674
YKR022C	88	206	67	144	44	49	73	22	23	52	34	114
YKR023W	30	45	31	43	22	38	35	27	11	18	18	62
YKR024C	111	5	8	84	8	77	79	10	14	29	13	96
YKR025W	79	53	37	85	25	51	40	19	11	39	14	90
YKR026C	754	335	339	693	278	545	652	126	200	293	146	610
YKR027W	466	705	460	848	424	507	384	338	191	304	243	625
YKR028W	570	360	416	513	367	484	610	358	242	383	151	514
YKR029C	190	328	170	269	173	155	198	127	84	87	100	292
YKR030W	377	938	569	872	444	346	311	81	146	282	160	489
YKR031C	412	451	400	425	321	318	401	377	230	277	222	798
YKR032W	0	1	0	0	0	0	1	0	0	0	0	0
YKR033C	2	4	2	0	6	2	2	1	2	3	1	4
YKR034W	37	94	62	51	51	63	20	57	13	18	46	74
YKR035C	2	3	1	4	3	6	16	5	4	4	0	5
YKR035W-A	26	58	10	36	25	12	9	2	7	20	18	27
YKR036C	181	160	119	213	116	174	269	72	79	119	65	208
YKR037C	74	106	60	140	47	50	100	26	26	49	39	102
YKR038C	1167	573	1064	838	948	965	1253	318	550	729	447	1223
YKR039W	4161	7916	8945	5460	5472	3819	1541	1137	1129	1844	1227	2481
YKR040C	1	1	0	2	1	1	2	1	0	0	2	0
YKR041W	29	10	29	22	33	13	32	2	7	14	3	15
YKR042W	21663	8774	24316	16527	18573	17974	33725	18965	12670	14620	8943	18600
YKR043C	1682	785	1347	1147	1144	1215	1921	608	767	925	444	1568
YKR044W	131	81	96	190	68	89	86	27	42	54	28	126
YKR045C	392	143	301	309	259	382	369	162	171	208	107	392
YKR046C	3347	4048	5349	3900	4492	3292	4222	4213	2460	4002	2269	6629
